match,date,team,opponent,Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 01:16:50,1,0,0,0,0,2,5,2,2,0,1,1,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 01:24:09,2,0,1,1,0,1,13,1,1,0,0,0,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 01:32:50,3,0,2,1,1,1,12,0,0,0,0,0,55 Trystan Grzyll,26 Morgan Lally,18 Naomi Anderson
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 01:36:59,4,1,2,0,0,3,14,3,2,1,1,2,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 01:44:10,5,1,3,1,1,3,12,2,1,1,1,1,29 Charlotte Doran,19 Elle Mayer,45 Jennifer Lin
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 01:51:33,6,2,3,0,1,1,1,0,0,0,1,0,NA,13 Hannah Abraham,18 Naomi Anderson
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:00:40,7,3,3,1,1,3,25,2,2,0,0,2,13 Hannah Abraham,08 Dani Ortiz,13 Hannah Abraham
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:10:02,8,4,3,0,0,2,6,2,2,0,1,1,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:19:17,9,4,4,1,1,1,22,0,0,0,0,0,29 Charlotte Doran,08 Dani Ortiz,03 Alex Krueger
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:23:33,10,5,4,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:25:56,11,5,5,1,0,1,8,1,1,0,0,0,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:32:39,12,5,6,1,1,2,8,1,1,0,0,1,NA,31 María Vargas,18 Naomi Anderson
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:36:34,13,6,6,0,1,3,15,2,2,0,3,0,NA,31 María Vargas,12 Emma Jaschke
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:50:03,14,7,6,0,0,0,0,0,0,0,0,0,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 02:56:56,15,7,7,1,0,2,14,2,2,0,0,1,NA,NA,NA
ATL @ ATX,2024-04-07_13-00-00,ATL,ATX,2024-04-10 03:09:10,16,7,8,1,0,1,3,1,1,0,0,0,NA,NA,NA
