,Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
0,03 Madi Cannon,11,"3,6,8,9,11,13,14,15,17,20,23",6,5,4,3,16,7,13,15,0,1,1,3,0,0,0,0,0,0,140.76,-8.23,10.83,-0.63,315.51008270000005,161.189304,19.95,9.84
1,73 Clara Stewart,11,"3,6,8,9,10,11,14,15,17,20,23",6,5,5,3,30,9,29,26,1,2,2,0,0,0,0,0,0,0,543.7708700000001,156.59787599999999,19.59,6.59,308.47523100000006,-4.653015300000002,11.01,-0.28
2,81 Mckenzie Bailey,10,"3,6,8,9,11,14,15,17,20,23",5,5,4,3,11,6,11,11,0,0,0,0,0,0,0,0,0,0,173.74,21.85,15.79,1.99,201.34,37.36,18.3,3.4
3,71 Wren Vogel,10,"3,6,8,9,11,14,15,17,20,23",5,5,4,3,3,3,2,3,0,0,0,1,1,1,0,1,0,0,11.68,6.88,11.68,6.88,38.32,20.17,12.77,6.72
4,26 Amy Broome,10,"3,6,8,9,11,14,15,17,20,23",5,5,4,3,13,8,13,8,5,1,0,0,0,0,0,0,0,0,221.77,96.1,17.06,7.39,106.61,-14.03,13.33,-1.75
5,69 Jaime Estes,10,"1,4,10,13,16,19,22,23,25,26",7,3,5,2,16,9,14,14,2,2,0,2,1,1,0,1,0,0,153.17,35.07,11.78,2.7,230.08,126.25,16.43,9.02
6,31 Nikki Gilbert,10,"3,6,8,9,11,14,15,17,20,23",5,5,4,3,13,8,11,12,1,1,1,2,0,0,0,2,0,0,132.88,28.87,12.08,2.62,209.41,120.59,17.45,10.05
7,00 Maggie Rowell,9,"1,4,10,13,16,19,22,25,26",6,3,4,2,13,5,12,12,1,1,1,0,2,2,0,0,0,0,105.473035,35.7455798,9.91,3.57,193.61,111.14,16.13,9.26
8,07 Shiru Liu,9,"1,4,10,13,16,19,22,25,26",6,3,4,2,27,6,27,21,6,0,0,0,4,4,0,0,0,0,330.63,112.63,14.38,4.9,232.45,24.82,11.07,1.18
9,42 Meg Duffy,9,"1,4,10,13,16,19,22,25,26",6,3,4,2,18,7,17,15,3,1,2,1,2,2,0,0,0,0,205.54,61.1,13.7,4.07,142.46,24.41,9.5,1.63
10,02 Elise Bjork,9,"1,4,10,13,16,19,22,25,26",6,3,4,2,23,7,23,18,5,2,2,0,2,2,0,1,0,0,293.54,104.67,13.98,4.98,211.62,1.69,11.76,0.09
11,88 Maddy Easton,9,"3,6,8,9,11,14,15,17,20",4,5,3,3,10,6,9,9,0,2,3,1,1,1,0,0,0,0,137.05,89.97,17.13,11.25,153.69087000000002,80.117876,19.77,12.12
12,05 Dre Esparza,7,"2,5,7,12,18,21,24,27",0,7,0,2,24,7,23,20,4,1,0,0,1,1,0,0,0,0,323.5300796,64.33930720000001,14.87,2.76,203.82,-21.92,10.19,-1.1
13,19 Vanessa Bacorn,7,"2,5,7,12,18,21,24,27",0,7,0,2,7,3,6,7,0,0,0,1,2,0,2,1,0,0,59.91,-16.73,9.98,-2.79,165.17,104.67,23.6,14.95
14,22 Sydney Loughran,8,"1,4,10,16,19,22,25,26",5,3,4,2,10,6,6,9,1,0,0,3,0,0,0,1,0,0,71.0700827,16.249304,10.68,1.79,140.5,48.36,15.61,5.37
15,15 Elise Franke,7,"2,5,7,12,18,21,24,27",0,7,0,2,9,6,9,9,0,0,0,0,1,1,0,0,0,0,76.48,-23.6,9.56,-2.95,185.49,120.38,20.61,13.38
16,10 Gaby Cuina,8,"1,4,13,16,19,22,25,26",5,3,3,2,4,3,3,4,0,0,0,0,0,0,0,2,0,0,35.1421164,8.7020977,9.65,1.33,72.14,28.8,18.04,7.2
17,12 Annie Ortiz,7,"2,5,7,12,18,21,24,27",0,7,0,2,12,8,12,10,2,0,1,0,0,0,0,1,0,0,161.66,16.86,13.47,1.41,135.58,1.28,13.56,0.13
18,16 Kinsey Neas,7,"2,5,7,12,18,21,24,27",0,7,0,2,14,8,13,14,0,0,0,1,3,3,0,0,0,0,113.57,-14.63,11.36,-1.46,233.59,126.52,16.68,9.04
19,27 Jocelyn Jessop,7,"2,5,7,12,18,21,24,27",0,7,0,2,13,8,13,12,1,0,0,0,0,0,0,1,0,0,220.71,99.34,16.98,7.64,189.33,-5.46,15.78,-0.46
20,95 Megan Mendieta,7,"2,5,7,12,18,21,24,27",0,7,0,2,25,7,25,21,4,1,1,0,1,1,0,1,0,0,437.89,229.03,19.04,9.96,280.78,29.13,13.37,1.39
